snapshot_id,fetched_at_utc,gameweek_id,gameweek,player_id,Player,Display_Name,Team,Team_Short,Position,Age,Minutes,Starts,Cost_M,Selected_By_%,Goals,Assists,Expected_Goals,Expected_Assists,Expected_Goal_Involvements,creativity,threat,influence,ict_index,tackles,recoveries,clearances_blocks_interceptions,defensive_contribution,bonus,bps,Form,Total_Points,Status,News,prev_minutes,prev_goals,prev_assists,prev_xgi,prev_form,GW_Minutes,GW_Goals,GW_Assists,GW_xGI,Goals_p90,Assists_p90,xG_p90,xA_p90,xGI_p90,Creativity_p90,Threat_p90,Influence_p90,ICT_p90,DefActions_p90,Bonus_p90,BPS_p90,GW_Goals_p90,GW_Assists_p90,GW_xGI_p90,Rolling_Form_Last5,Rolling_xGI_p90_Last5,recency_rank
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,548,Chris Rigg,Rigg,Sunderland,SUN,MID,19,17,0,5.0,0.1,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,1.0,2,a,,,,,,,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.588,0.0,0.0,0.0,10.588,0.0,31.765,0.0,0.0,0.0,1.0,0.0,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,33,Tyrone Mings,Mings,Aston Villa,AVL,DEF,33,16,0,4.5,0.4,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.2,1.0,0.0,0.0,1.0,0.0,5.0,0.5,1,a,,,,,,,16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,1.125,11.25,0.0,28.125,0.0,0.0,0.0,0.5,0.0,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,35,Lamare Bogarde,Bogarde,Aston Villa,AVL,MID,22,16,0,5.0,0.1,0,0,0.0,0.0,0.0,0.5,0.0,2.2,0.3,0.0,0.0,1.0,1.0,0.0,3.0,0.5,1,a,,,,,,,16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.813,0.0,12.375,1.688,11.25,0.0,16.875,0.0,0.0,0.0,0.5,0.0,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,90,Aaron Hickey,Hickey,Brentford,BRE,DEF,24,16,0,4.5,0.1,0,0,0.0,0.02,0.02,0.3,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,8.0,1.0,2,a,,,,,,,16,0,0,0.02,0.0,0.0,0.0,0.113,0.113,1.688,0.0,0.0,0.0,22.5,0.0,45.0,0.0,0.0,0.113,1.0,0.113,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,153,Axel Disasi,Disasi,Crystal Palace,CRY,DEF,28,16,0,4.5,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-2.0,0.5,1,a,,,,,,,16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.875,0.0,-11.25,0.0,0.0,0.0,0.5,0.0,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,160,Alejandro Garnacho Ferreyra,Garnacho,Aston Villa,AVL,MID,22,16,0,5.9,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,5.0,1.0,2,a,,,,,,,16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,28.125,0.0,0.0,0.0,1.0,0.0,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,420,Leny Yoro,Yoro,Man Utd,MUN,DEF,20,16,0,5.0,0.6,0,0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,-2.0,0.5,1,a,,,,,,,16,0,0,0.01,0.0,0.0,0.0,0.056,0.056,0.0,0.0,0.0,0.0,28.125,0.0,-11.25,0.0,0.0,0.056,0.5,0.056,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,76,Alex Tóth,Tóth.A,Bournemouth,BOU,MID,20,15,0,5.0,0.0,0,0,0.0,0.0,0.0,0.6,0.0,2.8,0.3,1.0,1.0,0.0,2.0,0.0,5.0,0.5,1,a,,,,,,,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,16.8,1.8,24.0,0.0,30.0,0.0,0.0,0.0,0.5,0.0,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,207,Oscar Mingueza,Mingueza,Crystal Palace,CRY,DEF,27,15,0,4.5,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,1,a,,,,,,,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,6.0,0.0,0.0,0.0,0.5,0.0,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,608,Daniel Jebbison,Jebbison,Bournemouth,BOU,FWD,23,15,0,5.0,0.1,0,0,0.1,0.0,0.1,0.8,17.0,3.4,2.1,0.0,1.0,0.0,1.0,0.0,6.0,0.5,1,a,,,,,,,15,0,0,0.1,0.0,0.0,0.6,0.0,0.6,4.8,102.0,20.4,12.6,12.0,0.0,36.0,0.0,0.0,0.6,0.5,0.6,1
